series	organ	view	pixel_count	sum	mean	min	max
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_left	AP	458	15317536.0	33444.40234375	29205.890625	39280.85546875
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_left	PA	458	14796157.0	32306.01953125	23681.244140625	37897.37109375
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_right	AP	439	14727604.0	33548.07421875	28799.044921875	43353.1875
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_right	PA	439	14275058.0	32517.216796875	24582.611328125	39858.359375
PET_WB_TRUEX2I14S0MM_AC_0102	liver	AP	1583	66794584.0	42194.9375	22107.5859375	110479.0625
PET_WB_TRUEX2I14S0MM_AC_0102	liver	PA	1583	57151036.0	36102.9921875	16698.431640625	65067.9609375
PET_WB_TRUEX2I14S0MM_AC_0102	prostate	AP	116	4351939.0	37516.71484375	27557.029296875	59026.4296875
PET_WB_TRUEX2I14S0MM_AC_0102	prostate	PA	116	3102349.0	26744.388671875	20745.28125	35911.23828125
PET_WB_TRUEX2I14S0MM_AC_0102	small_bowel	AP	2751	81556416.0	29646.09765625	21880.58203125	38219.75
PET_WB_TRUEX2I14S0MM_AC_0102	small_bowel	PA	2751	69915072.0	25414.421875	15968.23828125	37897.37109375
PET_WB_TRUEX2I14S0MM_AC_0102	spleen	AP	660	29674248.0	44960.98046875	22262.849609375	150629.9375
PET_WB_TRUEX2I14S0MM_AC_0102	spleen	PA	660	22028724.0	33376.85546875	17879.1796875	72086.6484375
