series	organ	view	pixel_count	sum	mean	min	max
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	kidney_left	AP	214	636831.125	2975.846435546875	1307.9571533203125	4077.05712890625
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	kidney_left	PA	214	423495.0625	1978.9488525390625	1061.223388671875	2700.832763671875
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	kidney_right	AP	161	553279.5	3436.5185546875	1550.24560546875	4530.5966796875
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	kidney_right	PA	161	506968.8125	3148.87451171875	1591.4105224609375	4819.380859375
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	liver	AP	902	1013910.5	1124.0693359375	280.1584167480469	3392.023193359375
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	liver	PA	902	1089220.25	1207.561279296875	400.7058410644531	2556.791015625
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	prostate	AP	0	nan	nan	nan	nan
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	prostate	PA	0	nan	nan	nan	nan
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	small_bowel	AP	1213	972820.125	801.9951782226562	167.0880584716797	4527.1396484375
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	small_bowel	PA	1213	1122950.75	925.76318359375	246.8002471923828	4819.380859375
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	spleen	AP	94	224252.984375	2385.670166015625	1127.9296875	3208.00439453125
LU-177-SPECT-CT-DOSIMETRIE-RECON-AC	spleen	PA	94	124526.4921875	1324.7498779296875	889.1421508789062	1655.9710693359375
